State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
05,066,00345,SUB-DISTRICT,Lalkuan,49,87080,45486,41594,4,569,309,260,23,8229,4341,3888,11,8095,4197,3898,10,13856,7312,6544,0,0,0,0,0,0,0,0,1,56331,29327,27004
05,067,00000,DISTRICT,Udham Singh Nagar,674,1062142,550470,511672,74,8021,4212,3809,104,36314,18967,17347,134,98243,51139,47104,191,273089,141456,131633,143,439715,226853,212862,25,165042,85760,79282,3,41718,22083,19635
05,067,00346,SUB-DISTRICT,Kashipur,73,144297,75486,68811,4,607,309,298,14,4527,2404,2123,13,9098,4833,4265,23,32490,17081,15409,11,36165,18632,17533,7,44749,23364,21385,1,16661,8863,7798
05,067,00347,SUB-DISTRICT,Jaspur,97,112466,58959,53507,14,1238,659,579,23,8443,4402,4041,21,14971,7923,7048,22,30952,16280,14672,15,44491,23211,21280,2,12371,6484,5887,0,0,0,0
05,067,00348,SUB-DISTRICT,Bajpur,122,141749,73703,68046,25,2805,1474,1331,23,7676,3992,3684,19,12759,6680,6079,38,52469,27327,25142,12,38220,19794,18426,5,27820,14436,13384,0,0,0,0
05,067,00349,SUB-DISTRICT,Kichha,88,160697,84322,76375,11,1029,535,494,9,3238,1737,1501,17,12854,6743,6111,27,40682,21354,19328,20,65565,34241,31324,2,12272,6492,5780,2,25057,13220,11837
05,067,00350,SUB-DISTRICT,Gadarpur,71,144204,74775,69429,1,162,93,69,8,2568,1301,1267,13,8660,4562,4098,21,30643,15965,14678,24,68256,35412,32844,4,33915,17442,16473,0,0,0,0
05,067,00351,SUB-DISTRICT,Sitarganj,127,178154,91916,86238,13,1504,786,718,19,7287,3818,3469,35,25872,13367,12505,34,47649,24306,23343,24,81277,42026,39251,2,14565,7613,6952,0,0,0,0
05,067,00352,SUB-DISTRICT,"Khatima
",96,180575,91309,89266,6,676,356,320,8,2575,1313,1262,16,14029,7031,6998,26,38204,19143,19061,37,105741,53537,52204,3,19350,9929,9421,0,0,0,0
05,068,00000,DISTRICT,Hardwar,518,1197328,633784,563544,56,3044,1668,1376,49,17400,9592,7808,80,60260,32280,27980,118,174035,91887,82148,161,499369,263683,235686,44,294172,155607,138565,10,149048,79067,69981
05,068,00353,SUB-DISTRICT,Roorkee,266,645902,342776,303126,23,918,533,385,24,8811,4881,3930,36,27285,14805,12480,61,88780,47110,41670,90,278954,147413,131541,27,179828,95841,83987,5,61326,32193,29133
05,068,00354,SUB-DISTRICT,Hardwar,121,336937,177694,159243,19,1137,602,535,10,3597,2004,1593,12,8110,4270,3840,28,42030,22079,19951,34,112878,59384,53494,14,97505,50960,46545,4,71680,38395,33285
05,068,00355,SUB-DISTRICT,"Laksar
",131,214489,113314,101175,14,989,533,456,15,4992,2707,2285,32,24865,13205,11660,29,43225,22698,20527,37,107537,56886,50651,3,16839,8806,8033,1,16042,8479,7563
06,000,00000,STATE,HARYANA,6642,16509359,8774006,7735353,232,22408,12015,10393,437,159989,84637,75352,1035,779352,411318,368034,1967,2903703,1535915,1367788,2256,7058752,3750057,3308695,594,3982126,2126901,1855225,121,1603029,853163,749866
06,069,00000,DISTRICT,Panchkula,206,248063,133153,114910,24,2975,1645,1330,36,13154,6957,6197,55,39822,21092,18730,62,88854,47042,41812,26,83954,46156,37798,3,19304,10261,9043,0,0,0,0
06,069,00356,SUB-DISTRICT,Kalka,95,94154,49527,44627,15,1972,1090,882,24,8756,4547,4209,24,16413,8642,7771,22,33321,17508,15813,9,28456,14972,13484,1,5236,2768,2468,0,0,0,0
06,069,00357,SUB-DISTRICT,Panchkula,111,153909,83626,70283,9,1003,555,448,12,4398,2410,1988,31,23409,12450,10959,40,55533,29534,25999,17,55498,31184,24314,2,14068,7493,6575,0,0,0,0
06,070,00000,DISTRICT,Ambala,461,627576,331703,295873,27,2925,1568,1357,56,21480,11346,10134,148,109909,58012,51897,139,191666,101384,90282,79,227145,119969,107176,12,74451,39424,35027,0,0,0,0
06,070,00358,SUB-DISTRICT,Naraingarh,167,197785,104668,93117,13,1381,748,633,20,7820,4140,3680,63,45482,24037,21445,50,67879,35856,32023,18,54428,28765,25663,3,20795,11122,9673,0,0,0,0
06,070,00359,SUB-DISTRICT,Ambala,159,215397,113863,101534,9,1013,532,481,23,8758,4616,4142,51,39250,20629,18621,45,64644,34247,30397,28,85161,45104,40057,3,16571,8735,7836,0,0,0,0
06,070,00360,SUB-DISTRICT,Barara,135,214394,113172,101222,5,531,288,243,13,4902,2590,2312,34,25177,13346,11831,44,59143,31281,27862,33,87556,46100,41456,6,37085,19567,17518,0,0,0,0
06,071,00000,DISTRICT,Yamunanagar,611,741376,393957,347419,43,4506,2361,2145,92,34351,18133,16218,197,145047,76449,68598,185,263265,139838,123427,88,249853,132762,117091,6,44354,24414,19940,0,0,0,0
06,071,00361,SUB-DISTRICT,Jagadhri,293,417788,223433,194355,11,1009,554,455,34,13581,7213,6368,88,64365,34061,30304,102,147440,78407,69033,53,154202,82561,71641,5,37191,20637,16554,0,0,0,0
06,071,00362,SUB-DISTRICT,Bilaspur,176,159953,84420,75533,15,1901,1000,901,37,12886,6790,6096,67,49896,26114,23782,43,58074,30882,27192,14,37196,19634,17562,0,0,0,0,0,0,0,0
06,071,00363,SUB-DISTRICT,Chhachhrauli,142,163635,86104,77531,17,1596,807,789,21,7884,4130,3754,42,30786,16274,14512,40,57751,30549,27202,21,58455,30567,27888,1,7163,3777,3386,0,0,0,0
06,072,00000,DISTRICT,Kurukshetra,407,685430,361020,324410,14,1186,633,553,39,14418,7588,6830,86,68186,35805,32381,168,239310,126227,113083,79,225893,119046,106847,21,136437,71721,64716,0,0,0,0
06,072,00364,SUB-DISTRICT,Shahbad,63,87569,46283,41286,1,76,40,36,7,2368,1233,1135,14,10878,5692,5186,32,43062,22830,20232,8,25860,13682,12178,1,5325,2806,2519,0,0,0,0
06,072,00365,SUB-DISTRICT,Pehowa,106,202728,106407,96321,3,371,182,189,13,4937,2558,2379,19,14333,7537,6796,35,51648,27125,24523,28,80297,42177,38120,8,51142,26828,24314,0,0,0,0
06,072,00366,SUB-DISTRICT,Thanesar,238,395133,208330,186803,10,739,411,328,19,7113,3797,3316,53,42975,22576,20399,101,144600,76272,68328,43,119736,63187,56549,12,79970,42087,37883,0,0,0,0
06,073,00000,DISTRICT,Kaithal,267,838293,445931,392362,7,707,376,331,14,4678,2469,2209,37,28687,14979,13708,69,102283,54084,48199,93,300589,159957,140632,33,215467,115098,100369,14,185882,98968,86914
06,073,00367,SUB-DISTRICT,Guhla,87,156299,82006,74293,5,606,317,289,10,3376,1766,1610,18,13627,7109,6518,28,41746,21982,19764,20,54805,28624,26181,5,31231,16379,14852,1,10908,5829,5079
06,073,00368,SUB-DISTRICT,Kaithal,128,478398,255597,222801,1,65,41,24,2,610,320,290,12,9938,5178,4760,29,43348,22985,20363,56,187279,100258,87021,22,146234,78377,67857,6,90924,48438,42486
06,073,00369,SUB-DISTRICT,Fatehpur Pundri,52,203596,108328,95268,1,36,18,18,2,692,383,309,7,5122,2692,2430,12,17189,9117,8072,17,58505,31075,27430,6,38002,20342,17660,7,84050,44701,39349
06,074,00000,DISTRICT,Karnal,417,1050514,557110,493404,22,1787,947,840,19,6555,3464,3091,71,53502,28460,25042,122,178321,94126,84195,133,418792,221543,197249,40,263988,140221,123767,10,127569,68349,59220
06,074,00370,SUB-DISTRICT,Nilokheri,76,163219,86167,77052,4,384,214,170,6,2007,1048,959,12,8725,4621,4104,23,32593,17191,15402,25,81914,43265,38649,6,37596,19828,17768,0,0,0,0
06,074,00371,SUB-DISTRICT,Indri,106,145106,76674,68432,11,838,448,390,4,1252,657,595,33,25196,13375,11821,36,53751,28275,25476,20,52868,27935,24933,2,11201,5984,5217,0,0,0,0
06,074,00372,SUB-DISTRICT,Karnal,130,385828,205154,180674,4,338,171,167,6,2348,1244,1104,13,9478,5064,4414,42,61125,32379,28746,46,150754,79759,70995,14,100512,53541,46971,5,61273,32996,28277
06,074,00373,SUB-DISTRICT,Assandh,54,206079,109350,96729,0,0,0,0,0,0,0,0,7,5574,3004,2570,12,18012,9478,8534,21,67049,35448,31601,11,70156,37345,32811,3,45288,24075,21213
06,074,00374,SUB-DISTRICT,Gharaunda,51,150282,79765,70517,3,227,114,113,3,948,515,433,6,4529,2396,2133,9,12840,6803,6037,21,66207,35136,31071,7,44523,23523,21000,2,21008,11278,9730
06,075,00000,DISTRICT,Panipat,176,650352,349642,300710,3,217,110,107,4,1543,831,712,11,8048,4325,3723,38,58243,31221,27022,80,269382,145040,124342,34,239013,128559,110454,6,73906,39556,34350
06,075,00375,SUB-DISTRICT,Panipat,75,276259,148063,128196,3,217,110,107,3,1131,600,531,2,1493,783,710,14,22822,12347,10475,36,120103,64239,55864,14,91044,48800,42244,3,39449,21184,18265
06,075,00376,SUB-DISTRICT,Israna,27,108196,57882,50314,0,0,0,0,0,0,0,0,3,2548,1352,1196,3,5120,2744,2376,14,45017,24055,20962,7,55511,29731,25780,0,0,0,0
06,075,00377,SUB-DISTRICT,Samalkha,74,265897,143697,122200,0,0,0,0,1,412,231,181,6,4007,2190,1817,21,30301,16130,14171,30,104262,56746,47516,13,92458,50028,42430,3,34457,18372,16085
06,076,00000,DISTRICT,Sonipat,319,996637,538750,457887,8,732,414,318,8,3022,1649,1373,17,12853,6969,5884,73,111330,60078,51252,166,541336,293502,247834,44,287929,156451,131478,3,39435,19687,19748
06,076,00378,SUB-DISTRICT,Gohana,81,306326,164182,142144,1,150,72,78,0,0,0,0,2,1505,772,733,14,22047,11875,10172,46,158137,85181,72956,17,111943,61009,50934,1,12544,5273,7271
06,076,00379,SUB-DISTRICT,Ganaur,60,171286,93456,77830,3,333,189,144,1,218,120,98,5,3963,2176,1787,11,16719,8974,7745,34,110640,60265,50375,6,39413,21732,17681,0,0,0,0
06,076,00380,SUB-DISTRICT,Sonipat,135,383181,207546,175635,4,249,153,96,6,2325,1291,1034,8,5908,3216,2692,40,60171,32501,27670,60,194142,105561,88581,16,103664,55904,47760,1,16722,8920,7802
06,076,00381,SUB-DISTRICT,Kharkhoda,43,135844,73566,62278,0,0,0,0,1,479,238,241,2,1477,805,672,8,12393,6728,5665,26,78417,42495,35922,5,32909,17806,15103,1,10169,5494,4675
06,077,00000,DISTRICT,Jind,302,1028569,550519,478050,3,284,151,133,4,1400,739,661,17,13913,7406,6507,71,111172,59375,51797,154,501334,268788,232546,45,301149,160984,140165,8,99317,53076,46241
06,077,00382,SUB-DISTRICT,Narwana,107,405416,216101,189315,1,20,12,8,1,281,154,127,5,4357,2363,1994,24,37813,20069,17744,52,171402,91808,79594,19,132049,69957,62092,5,59494,31738,27756
06,077,00383,SUB-DISTRICT,Jind,96,309202,165870,143332,2,264,139,125,1,431,219,212,7,5340,2830,2510,23,36285,19347,16938,51,175667,94280,81387,10,65597,35321,30276,2,25618,13734,11884
06,077,00384,SUB-DISTRICT,Julana,29,100653,54123,46530,0,0,0,0,0,0,0,0,0,0,0,0,7,10907,5847,5060,16,53113,28638,24475,6,36633,19638,16995,0,0,0,0
06,077,00385,SUB-DISTRICT,Safidon,70,213298,114425,98873,0,0,0,0,2,688,366,322,5,4216,2213,2003,17,26167,14112,12055,35,101152,54062,47090,10,66870,36068,30802,1,14205,7604,6601
06,078,00000,DISTRICT,Fatehabad,245,762423,400814,361609,4,274,149,125,14,4379,2309,2070,33,24341,12760,11581,57,83556,43740,39816,101,331916,174424,157492,28,191843,100872,90971,8,126114,66560,59554
06,078,00386,SUB-DISTRICT,Ratia,66,142398,74160,68238,1,188,100,88,4,1223,663,560,10,6755,3495,3260,20,30483,15841,14642,29,88935,46412,42523,2,14814,7649,7165,0,0,0,0
06,078,00387,SUB-DISTRICT,Tohana,84,192105,101218,90887,3,86,49,37,9,2871,1493,1378,11,8029,4238,3791,27,38695,20363,18332,26,84012,44190,39822,7,47520,25028,22492,1,10892,5857,5035
06,078,00388,SUB-DISTRICT,Fatehabad,95,427920,225436,202484,0,0,0,0,1,285,153,132,12,9557,5027,4530,10,14378,7536,6842,46,158969,83822,75147,19,129509,68195,61314,7,115222,60703,54519
06,079,00000,DISTRICT,Sirsa,327,975941,514177,461764,9,760,407,353,10,3364,1771,1593,16,11530,6091,5439,86,128664,67843,60821,165,523304,275941,247363,37,254491,133726,120765,4,53828,28398,25430
06,079,00389,SUB-DISTRICT,Dabwali,70,217056,114127,102929,2,331,174,157,1,447,225,222,1,731,394,337,24,36716,19377,17339,33,103953,54710,49243,7,48532,25434,23098,2,26346,13813,12533
06,079,00390,SUB-DISTRICT,Sirsa,181,512701,270450,242251,7,429,233,196,6,1843,983,860,9,6760,3581,3179,50,73948,38959,34989,87,275728,145731,129997,21,141996,74597,67399,1,11997,6366,5631
06,079,00391,SUB-DISTRICT,Rania,46,150541,79306,71235,0,0,0,0,2,616,328,288,2,1196,620,576,11,16923,8935,7988,25,79779,41973,37806,5,36542,19231,17311,1,15485,8219,7266
06,079,00392,SUB-DISTRICT,Ellenabad,30,95643,50294,45349,0,0,0,0,1,458,235,223,4,2843,1496,1347,1,1077,572,505,20,63844,33527,30317,4,27421,14464,12957,0,0,0,0
06,080,00000,DISTRICT,Hisar,268,1190443,634139,556304,3,238,122,116,5,1709,945,764,12,8158,4385,3773,32,51711,27362,24349,134,463730,246376,217354,70,478250,255313,222937,12,186647,99636,87011
06,080,00393,SUB-DISTRICT,Adampur,28,121421,64324,57097,0,0,0,0,1,264,144,120,1,754,402,352,3,4609,2477,2132,18,65521,34716,30805,3,22564,11891,10673,2,27709,14694,13015
06,080,00394,SUB-DISTRICT,Hisar,148,645364,342554,302810,0,0,0,0,2,681,374,307,6,4225,2255,1970,24,38580,20357,18223,71,240153,126980,113173,39,265377,141120,124257,6,96348,51468,44880
06,080,00395,SUB-DISTRICT,Narnaund,30,123638,66470,57168,0,0,0,0,0,0,0,0,3,1960,1061,899,4,6718,3597,3121,15,52414,28062,24352,6,41591,22464,19127,2,20955,11286,9669
06,080,00396,SUB-DISTRICT,Hansi,62,300020,160791,139229,3,238,122,116,2,764,427,337,2,1219,667,552,1,1804,931,873,30,105642,56618,49024,22,148718,79838,68880,2,41635,22188,19447
06,081,00000,DISTRICT,Bhiwani,442,1313123,696212,616911,5,405,218,187,17,6885,3613,3272,39,30134,15925,14209,126,192251,101392,90859,192,566388,300369,266019,48,323386,171535,151851,15,193674,103160,90514
06,081,00397,SUB-DISTRICT,Bawani Khera,19,106746,56427,50319,1,45,23,22,1,387,214,173,2,1781,952,829,2,3896,2047,1849,4,14133,7472,6661,7,50737,26734,24003,2,35767,18985,16782
06,081,00398,SUB-DISTRICT,Bhiwani,82,357641,191355,166286,0,0,0,0,1,450,239,211,5,3098,1639,1459,13,18511,9823,8688,39,122424,65575,56849,15,101715,54394,47321,9,111443,59685,51758
06,081,00399,SUB-DISTRICT,Tosham,60,175907,93148,82759,1,23,13,10,1,379,199,180,2,1177,658,519,19,28636,15125,13511,27,78456,41609,36847,10,67236,35544,31692,0,0,0,0
06,081,00400,SUB-DISTRICT,Siwani,33,81040,42776,38264,0,0,0,0,1,491,265,226,2,1771,932,839,11,15712,8193,7519,18,51236,27183,24053,0,0,0,0,1,11830,6203,5627
06,081,00401,SUB-DISTRICT,Loharu,78,145850,76510,69340,1,77,37,40,8,3000,1565,1435,17,13270,6930,6340,24,34925,18258,16667,25,71781,37690,34091,2,12671,6722,5949,1,10126,5308,4818
06,081,00402,SUB-DISTRICT,Dadri,116,327855,173205,154650,2,260,145,115,3,1301,682,619,4,3219,1693,1526,37,58635,30961,27674,57,169582,89561,80021,11,70350,37184,33166,2,24508,12979,11529
06,081,00403,SUB-DISTRICT,Badhra,54,118084,62791,55293,0,0,0,0,2,877,449,428,7,5818,3121,2697,20,31936,16985,14951,22,58776,31279,27497,3,20677,10957,9720,0,0,0,0
06,082,00000,DISTRICT,Rohtak,136,615040,332034,283006,1,152,80,72,3,1114,610,504,4,3015,1650,1365,19,30778,16627,14151,55,191261,102815,88446,48,318738,172131,146607,6,69982,38121,31861
06,082,00404,SUB-DISTRICT,Maham,31,182566,98571,83995,0,0,0,0,1,374,205,169,0,0,0,0,3,4556,2463,2093,7,23530,12560,10970,17,116688,62838,53850,3,37418,20505,16913
06,082,00405,SUB-DISTRICT,Rohtak,83,329211,177499,151712,1,152,80,72,2,740,405,335,4,3015,1650,1365,15,24270,13087,11183,37,131031,70373,60658,21,137439,74288,63151,3,32564,17616,14948
06,082,00406,SUB-DISTRICT,Sampla,22,103263,55964,47299,0,0,0,0,0,0,0,0,0,0,0,0,1,1952,1077,875,11,36700,19882,16818,10,64611,35005,29606,0,0,0,0
06,083,00000,DISTRICT,Jhajjar,247,715066,384219,330847,7,644,390,254,5,1897,1037,860,15,11993,6348,5645,82,124008,65920,58088,109,356691,190515,166176,25,169416,92569,76847,4,50417,27440,22977
06,083,00407,SUB-DISTRICT,Beri,38,139857,74858,64999,0,0,0,0,0,0,0,0,1,854,468,386,11,17296,9228,8068,19,65320,34855,30465,6,42241,22644,19597,1,14146,7663,6483
06,083,00408,SUB-DISTRICT,Bahadurgarh,60,226074,122895,103179,1,29,26,3,1,477,263,214,3,2307,1235,1072,12,17925,9710,8215,29,95750,51962,43788,11,73315,39922,33393,3,36271,19777,16494
06,083,00409,SUB-DISTRICT,Jhajjar,97,208862,110998,97864,6,615,364,251,3,1165,635,530,6,4788,2520,2268,41,62196,32907,29289,39,127349,67795,59554,2,12749,6777,5972,0,0,0,0
06,083,00410,SUB-DISTRICT,Matenhail,52,140273,75468,64805,0,0,0,0,1,255,139,116,5,4044,2125,1919,18,26591,14075,12516,22,68272,35903,32369,6,41111,23226,17885,0,0,0,0
06,084,00000,DISTRICT,Mahendragarh,369,789233,416358,372875,7,676,354,322,9,3588,1889,1699,43,33439,17535,15904,154,233301,123051,110250,139,407569,214838,192731,16,100647,53390,47257,1,10013,5301,4712
06,084,00411,SUB-DISTRICT,Mahendragarh,149,362264,190767,171497,2,53,30,23,3,1306,701,605,15,10811,5725,5086,51,76521,40352,36169,66,191447,100486,90961,11,72113,38172,33941,1,10013,5301,4712
06,084,00412,SUB-DISTRICT,Narnaul,220,426969,225591,201378,5,623,324,299,6,2282,1188,1094,28,22628,11810,10818,103,156780,82699,74081,73,216122,114352,101770,5,28534,15218,13316,0,0,0,0
06,085,00000,DISTRICT,Rewari,389,666902,349710,317192,9,643,365,278,34,12504,6586,5918,67,51922,27134,24788,162,234316,123170,111146,108,310439,162698,147741,9,57078,29757,27321,0,0,0,0
06,085,00413,SUB-DISTRICT,Kosli,52,117440,60949,56491,1,3,3,0,1,366,196,170,5,3956,2091,1865,20,29638,15341,14297,22,62550,32516,30034,3,20927,10802,10125,0,0,0,0
06,085,00414,SUB-DISTRICT,Rewari,258,436188,228883,207305,6,304,180,124,25,8890,4701,4189,45,34186,17875,16311,106,153942,80932,73010,70,202715,106240,96475,6,36151,18955,17196,0,0,0,0
06,085,00415,SUB-DISTRICT,Bawal,79,113274,59878,53396,2,336,182,154,8,3248,1689,1559,17,13780,7168,6612,36,50736,26897,23839,16,45174,23942,21232,0,0,0,0,0,0,0,0
06,086,00000,DISTRICT,Gurgaon,229,472179,251462,220717,6,567,296,271,15,5296,2883,2413,45,34882,18409,16473,72,105813,55708,50105,80,242478,128093,114385,10,64182,35989,28193,1,18961,10084,8877
06,086,00416,SUB-DISTRICT,Pataudi,53,78688,41060,37628,0,0,0,0,4,1302,684,618,19,15217,7951,7266,17,23229,12164,11065,13,38940,20261,18679,0,0,0,0,0,0,0,0
06,086,00417,SUB-DISTRICT,Gurgaon,32,67331,36026,31305,4,475,244,231,2,828,495,333,3,2023,1053,970,8,11481,6099,5382,13,40299,21631,18668,2,12225,6504,5721,0,0,0,0
06,086,00418,SUB-DISTRICT,Farrukhnagar,49,121335,63814,57521,0,0,0,0,1,345,177,168,6,4895,2591,2304,18,27356,14374,12982,23,69778,36588,33190,0,0,0,0,1,18961,10084,8877
06,086,00419,SUB-DISTRICT,Manesar,34,93158,51159,41999,1,31,17,14,0,0,0,0,4,3711,1995,1716,15,23413,12191,11222,8,25527,13510,12017,6,40476,23446,17030,0,0,0,0
06,086,00420,SUB-DISTRICT,Sohna,61,111667,59403,52264,1,61,35,26,8,2821,1527,1294,13,9036,4819,4217,14,20334,10880,9454,23,67934,36103,31831,2,11481,6039,5442,0,0,0,0
06,087,00000,DISTRICT,Mewat ,412,965157,506086,459071,13,1278,657,621,34,11881,6183,5698,66,47456,24788,22668,130,191798,100480,91318,132,408655,214263,194392,29,193190,101214,91976,8,110899,58501,52398
06,087,00421,SUB-DISTRICT,Taoru,79,138172,72575,65597,8,796,409,387,10,2838,1467,1371,13,9568,4994,4574,23,34461,18241,16220,22,70296,36817,33479,3,20213,10647,9566,0,0,0,0
06,087,00422,SUB-DISTRICT,Nuh,103,265114,139678,125436,1,189,103,86,7,2662,1392,1270,23,16968,9032,7936,27,38148,20024,18124,31,98118,51798,46320,12,81668,42813,38855,2,27361,14516,12845
06,087,00423,SUB-DISTRICT,Ferozepur Jhirka,143,307239,160615,146624,0,0,0,0,10,3590,1886,1704,22,15614,8076,7538,58,85462,44577,40885,45,137391,71839,65552,6,38937,20451,18486,2,26245,13786,12459
06,087,00424,SUB-DISTRICT,Punahana,87,254632,133218,121414,4,293,145,148,7,2791,1438,1353,8,5306,2686,2620,22,33727,17638,16089,34,102850,53809,49041,8,52372,27303,25069,4,57293,30199,27094
06,088,00000,DISTRICT,Faridabad,144,370878,198103,172775,10,884,476,408,10,3241,1723,1518,20,15382,8185,7197,31,45430,24176,21254,57,164803,87801,77002,12,82801,44694,38107,4,58337,31048,27289
06,088,00425,SUB-DISTRICT,Faridabad,62,160275,86260,74015,1,178,92,86,6,2021,1067,954,13,9748,5147,4601,17,24900,13406,11494,18,51834,27776,24058,5,37629,20664,16965,2,33965,18108,15857
06,088,00426,SUB-DISTRICT,Ballabgarh,82,210603,111843,98760,9,706,384,322,4,1220,656,564,7,5634,3038,2596,14,20530,10770,9760,39,112969,60025,52944,7,45172,24030,21142,2,24372,12940,11432
06,089,00000,DISTRICT,Palwal ,268,806164,428907,377257,7,568,296,272,9,3530,1912,1618,36,27133,14611,12522,89,137633,73071,64562,86,273240,145161,128079,24,166012,88578,77434,17,198048,105278,92770
06,089,00427,SUB-DISTRICT,Palwal,143,345842,184610,161232,6,565,293,272,5,1873,1016,857,21,15438,8369,7069,55,85965,45796,40169,44,141269,75128,66141,8,55562,29784,25778,4,45170,24224,20946
06,089,00428,SUB-DISTRICT,Hathin,79,254594,134538,120056,0,0,0,0,3,1186,648,538,10,7833,4217,3616,29,43753,23063,20690,22,69057,36524,32533,9,59802,31785,28017,6,72963,38301,34662
06,089,00429,SUB-DISTRICT,Hodal,46,205728,109759,95969,1,3,3,0,1,471,248,223,5,3862,2025,1837,5,7915,4212,3703,20,62914,33509,29405,7,50648,27009,23639,7,79915,42753,37162
07,000,00000,STATE,NCT OF DELHI,103,419042,226321,192721,4,484,277,207,2,713,379,334,6,4077,2222,1855,21,33087,17600,15487,55,182689,98638,84051,9,56386,30862,25524,6,141606,76343,65263
07,090,00000,DISTRICT,North West,48,213950,115680,98270,2,241,150,91,0,0,0,0,1,660,371,289,8,14185,7532,6653,32,108537,58870,49667,2,12689,6897,5792,3,77638,41860,35778
07,090,00430,SUB-DISTRICT,Narela,36,168739,91524,77215,2,241,150,91,0,0,0,0,1,660,371,289,4,7301,3872,3429,26,91578,49752,41826,1,7630,4209,3421,2,61329,33170,28159
07,090,00431,SUB-DISTRICT,Saraswati Vihar,12,45211,24156,21055,0,0,0,0,0,0,0,0,0,0,0,0,4,6884,3660,3224,6,16959,9118,7841,1,5059,2688,2371,1,16309,8690,7619
07,090,00432,SUB-DISTRICT,Model Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,091,00000,DISTRICT,North,2,17746,9546,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7308,3903,3405,1,10438,5643,4795
07,091,00433,SUB-DISTRICT,Civil Lines,2,17746,9546,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7308,3903,3405,1,10438,5643,4795
07,091,00434,SUB-DISTRICT,Sadar Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,091,00435,SUB-DISTRICT,Kotwali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,092,00000,DISTRICT,North East,8,21527,11718,9809,1,110,63,47,1,291,150,141,1,798,428,370,0,0,0,0,4,13949,7610,6339,1,6379,3467,2912,0,0,0,0
07,092,00436,SUB-DISTRICT,Seelam Pur,8,21527,11718,9809,1,110,63,47,1,291,150,141,1,798,428,370,0,0,0,0,4,13949,7610,6339,1,6379,3467,2912,0,0,0,0
07,092,00437,SUB-DISTRICT,Shahdara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,092,00438,SUB-DISTRICT,Seema Puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,093,00000,DISTRICT,East,1,3530,1861,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3530,1861,1669,0,0,0,0,0,0,0,0
07,093,00439,SUB-DISTRICT,Gandhi Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,093,00440,SUB-DISTRICT,Vivek Vihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,093,00441,SUB-DISTRICT,Preet Vihar,1,3530,1861,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3530,1861,1669,0,0,0,0,0,0,0,0
07,094,00000,DISTRICT,New Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,094,00442,SUB-DISTRICT,Connaught Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,094,00443,SUB-DISTRICT,Chanakya Puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,094,00444,SUB-DISTRICT,Parliament Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,095,00000,DISTRICT,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,095,00445,SUB-DISTRICT,Darya Ganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
