State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
01,005,00017,SUB-DISTRICT,Mandi,37,77947,41365,36582,2,292,153,139,3,1135,611,524,7,5905,2995,2910,11,15613,8059,7554,11,31575,17426,14149,2,11561,5991,5570,1,11866,6130,5736
01,005,00018,SUB-DISTRICT,Mendhar,51,136333,70776,65557,4,438,199,239,5,1663,806,857,5,3875,1866,2009,14,19893,10147,9746,16,52469,26292,26177,5,34163,17030,17133,2,23832,14436,9396
01,005,00019,SUB-DISTRICT,Surankote,33,118012,62158,55854,0,0,0,0,0,0,0,0,3,2260,1161,1099,6,9885,5065,4820,17,59200,31568,27632,7,46667,24364,22303,0,0,0,0
01,006,00000,DISTRICT,Rajouri,375,590101,310748,279353,22,2410,1250,1160,61,22397,11546,10851,89,63964,33500,30464,101,140822,73683,67139,87,267904,142086,125818,15,92604,48683,43921,0,0,0,0
01,006,00020,SUB-DISTRICT,Thanamandi,32,62283,32373,29910,1,76,35,41,4,1387,725,662,4,2628,1346,1282,6,8317,4348,3969,17,49875,25919,23956,0,0,0,0,0,0,0,0
01,006,00021,SUB-DISTRICT,Darhal,11,36227,19121,17106,0,0,0,0,0,0,0,0,1,721,376,345,4,5400,2812,2588,3,10879,5757,5122,3,19227,10176,9051,0,0,0,0
01,006,00022,SUB-DISTRICT,Rajauri,118,159581,84130,75451,6,918,473,445,21,8032,4102,3930,33,24550,12973,11577,33,43714,23502,20212,22,65141,34113,31028,3,17226,8967,8259,0,0,0,0
01,006,00023,SUB-DISTRICT,Budhal,51,123050,64990,58060,1,23,12,11,4,1818,976,842,7,5347,2816,2531,12,18427,9588,8839,24,79357,42182,37175,3,18078,9416,8662,0,0,0,0
01,006,00024,SUB-DISTRICT,Kalakote,68,72667,37864,34803,6,582,317,265,15,5265,2712,2553,25,17047,8929,8118,14,18261,9500,8761,6,18482,9601,8881,2,13030,6805,6225,0,0,0,0
01,006,00025,SUB-DISTRICT,Nowshehra,52,79008,42417,36591,5,391,200,191,8,2679,1358,1321,6,4844,2524,2320,22,33667,17217,16450,9,25933,15153,10780,2,11494,5965,5529,0,0,0,0
01,006,00026,SUB-DISTRICT,Sunderbani,43,57285,29853,27432,3,420,213,207,9,3216,1673,1543,13,8827,4536,4291,10,13036,6716,6320,6,18237,9361,8876,2,13549,7354,6195,0,0,0,0
01,007,00000,DISTRICT,Kathua,496,526722,278126,248596,76,7182,3801,3381,117,39784,20972,18812,107,75622,39849,35773,115,165314,86852,78462,78,218564,115101,103463,3,20256,11551,8705,0,0,0,0
01,007,00027,SUB-DISTRICT,Billawar,65,145904,77072,68832,0,0,0,0,1,486,256,230,4,2852,1492,1360,24,35541,18783,16758,35,100924,53341,47583,1,6101,3200,2901,0,0,0,0
01,007,00028,SUB-DISTRICT,Bashohli,38,65377,34351,31026,1,139,78,61,2,956,502,454,3,2077,1084,993,20,29076,15249,13827,12,33129,17438,15691,0,0,0,0,0,0,0,0
